Titel,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Personen,Externe Person,Startdatum,Schlussdatum,Externe Organisationen,Organisationseinheit,Externe Organisation,Veranstaltung
"Prestons Community Wealth Building-Ansatz – Eine lokale Entwick-lungsstrategie (nicht nur) für Orte, die ‚nichts zählen‘",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2019-12-05,2019-12-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Open Research Seminar ICAE
Agrarsoziologie ohne Aufgaben? Zum vergangenen und zukünftigem Aufgaben-verständnis in der deutschsprachigen Agrarsoziologie,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2015-10-01,2015-10-01,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Soziologiekongress 2015
Ökonom*innen und Politik. Analyse zur politischen Einflußnahme deutschsprachiger Ökonom*innen und Ökonomie.,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2015-07-16,2015-07-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Workshop des DFG-Netzwerkes Soziologie ökonomischen Denkens, Universität Freiburg"
Exklusionen in der Ökonomie? Die Situation der Heterodoxen in Deutschland und ihre Ursachen,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2015-11-27,2015-11-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Teaching Economics in the 21st Century
Politik und ihre Ad-hoc- Gremien in Krisenzeiten: Public Management zwischen Demokratie und Wirkungsorientierung?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2015-10-23,2015-10-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum 15: Kritik
„Landnahme“. Zur Ökonomie Rosa Luxemburgs und dem Defizit-Problem in der Ökonomie.,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2015-12-05,2015-12-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Jahrestagung des ICAE: Ökonomie! Welche Ökonomie? Zu Stand und Status der Wirtschaftswissenschaft
Der Einfluss europäischer Agrarpolitikmaßnahmen auf die Arbeit im Agrarsektor,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2015-12-01,2015-12-01,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"23. Witzenhäuser Konferenz, Universität Kassel"
Competition in Transformational Processes: Polanyi & Schumpeter,Science-to-public,Vortrag oder Präsentation,Vortragende*r,,"Heck, Ines",2020-10-16,2020-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum-Kongress
Competition in Transformational Processes: Polanyi & Schumpeter,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2020-10-16,2020-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum-Kongress
Competition in Transformational Processes: Polanyi & Schumpeter,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2020-10-16,2020-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum-Kongress
Think Tank networks of German Neoliberalism,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-03-20,2016-03-20,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,More Roads from Mont Pèlerin. Neoliberalism Studies
"Moralität, Wettbewerb und internationaler Handel: Eine europäische Perspektive",Science-to-public,Vortrag oder Präsentation,Vortragende*r,,"Tamesberger, Dennis",2017-04-04,2017-04-04,,Institut für Volkswirtschaftslehre (+1 weitere),,AK LänderreferentInnentagung EU und Internationales
"Moralität, Wettbewerb und internationaler Handel: Eine europäische Perspektive",Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2017-04-04,2017-04-04,,Institut für Volkswirtschaftslehre (+1 weitere),,AK LänderreferentInnentagung EU und Internationales
"Moralität, Wettbewerb und internationaler Handel: Eine europäische Perspektive",Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2017-04-04,2017-04-04,,Institut für Volkswirtschaftslehre (+1 weitere),,AK LänderreferentInnentagung EU und Internationales
Krisen als Krankheiten und Katastrophen: Zur diskursiven Wirkmächtigkeit ökonomischen Denkens,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-04-06,2016-04-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Lectures and Debates zur ""Sprache des Geldes"""
Ökonomische Forschung und die Finanzkrise,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2015-12-05,2015-12-05,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),,7. Wintertagung des ICAE: Ökonomie! Welche Ökonomie? Zu Stand und Status der Wirtschaftswissenschaft
Wie wird gerechter Handel möglich?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2017-06-09,2017-06-09,,Institut für Volkswirtschaftslehre (+1 weitere),,Öffentlicher ExpertInnenworkshop der Allianz gerechter Handel
Panama Papers,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2016-04-07,2016-04-07,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),,Talk Im Hangar 7/Servus TV
Tracing the invisible rich: The rank correction approach to inferring tails in survey data,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-08-25,2021-08-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Conference of the European Economic Association
How should we deal with the budgetary costs due to the Covid-19 crisis?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-08-25,2021-08-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Austrian trade union federation
Why the fiscal rules should be reformed: Output gap estimates and fiscal policy in Italy,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-07-12,2021-07-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Event on the EU’s fiscal rules followed by a panel discussion with representatives of different parties from the Draghi government, Rome"
Comments on “Can the state be a good investor?”,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Paczos, Wojciech",2021-07-06,2021-07-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Polish Economic Institute, Warsaw"
Comments on “Can the state be a good investor?”,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-07-06,2021-07-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Polish Economic Institute, Warsaw"
"Still learning to catch-up? Technological capabilities, globalisation and economic growth",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33 rd Annual EAEPE Conference
Governing the Ungovernable. Recontextualizations of Competition in European Policy Discourse,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference
Governing the Ungovernable. Recontextualizations of Competition in European Policy Discourse,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2021-07-04,2021-07-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual SASE Meeting
Italy and Europe will rise or fall together Participation in a panel discussion,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-06-24,2021-06-24,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"International Weekly Seminar, Le Grand Continent"
Italy - Europe’s basket case?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-06-15,2021-06-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Forum New Economy
Prospects of a sustainable automotive industry,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2017-01-11,2017-01-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,A Great Transformation? Global Perspectives on Contemporary Capitalisms
Nach „Koste es was es wolle“: Eine neue Ära in der Ökonomie?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2021-01-27,2021-01-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Podiumsdiskussion von Club Research (in Kooperation mit der AK-Wien und der Stadt Wien)
"Country capabilities, product complexity and finance in the EU",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-01-05,2021-01-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Rebuilding Macroeconomics Globalization Hub Conference
Governing the Ungovernable. Recontextualizations of European Policy Discourse,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2021-03-26,2021-03-26,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,First Doctoral Conference on the Social and Political Constitution of the Economy
Does economic globalisation promote economic growth? A meta analysis Presentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-02-19,2021-02-19,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,13th FIW-Research Conference ‘International Economics
Das Institut für die Gesamtanalyse der Wirtschaft,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2012-09-11,2012-09-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,1. pluralistischen Ergänzungsveranstaltung zur Jahrestagung
Diskussion zum Film Inside Job,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-09-12,2012-09-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Dokumentarfilmreihe Die Politik in der Krise
Der Verlust der Kategorien von Moral und der Gesellschaft in der Geschichte der Nationalökonomie,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-09-18,2012-09-18,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Ökonomisch-philosophischen Herbstakademie 2012: Die Ökonomien des Gemeinsamen. Neue Orte ökonomischer Bildung
Wider die Marktgläubigkeit. Ökonomie neu denken lernen (Publikumsdiskussion),unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-09-18,2012-09-18,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Ökonomisch-philosophischen Herbstakademie 2012: Die Ökonomien des Gemeinsamen. Neue Orte ökonomischer Bildung
"Lenken im Hamsterrad? Politisches Handeln in Zeiten von Finanz-Spekulationen, Schuldenkrisen und allmächtigen Konzernen",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-09-25,2012-09-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Werkstatt-Gespräche Bludenz
"Neoliberalismus, ökonomische Theorien und Propaganda",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-09-18,2012-09-18,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Ökonomisch-philosophischen Herbstakademie 2012: Die Ökonomien des Gemeinsamen. Neue Orte ökonomischer Bildung
Postdemokratie in Österreich,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Plaimer, Wolfgang",,2012-09-28,2012-09-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Momentum Kongress 2012 im Panel “Recht, Freiheit, Demokratie”"
How liberalism lost its concept of democracy.,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2012-09-28,2012-09-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Momentum Kongress 2012 im Panel “Recht, Freiheit, Demokratie”."
Eröffnung der 4. Jahrestagung Die Politische Ökonomie von Regulierungsoasen,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-11-29,2012-11-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Die Politische Ökonomie von Regulierungsoasen
Alte und neue Erklärungsansätze zum Aufstieg und Fall von Eliten,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2012-11-14,2012-11-14,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Lunch Lectures
The Political Economy of Offshore Jurisdictions: Its Neoliberal Background,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-11-30,2012-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Die Politische Ökonomie von Regulierungsoasen
"Diskussionsbeitrag zu: Ötsch, Silke: Our banking secrecy is a strong castle",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2012-11-30,2012-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Die Politische Ökonomie von Regulierungsoasen
Do corporate tax cuts boost growth?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-10-30,2021-10-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,25th FMM Conference 2021
Budgetpolitik im Kontext der Covid-19-Krise,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-10-12,2021-10-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,FSG-Tagung der Gewerkschaft GPA
Warum müssen wir noch immer arbeiten?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum2021: Arbeit | Momentum Kongress
Komplexitätsökonomik – Alternative zur Gleichgewichtsökonomik?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-11-17,2021-11-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
Governing the Ungovernable. Recontextualizations of Competition in European Policy Discourse,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2021-11-07,2021-11-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Young Economists Conference 2021
Kulturelle Wachstumskritik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2021-11-02,2021-11-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Ringvorlesung Rethinking Economics Kiel
How to reform the EU’s fiscal rules?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-09-30,2021-09-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,“Fiscal 2.0: A roadmap for the future?”
Lobbyismus und gesamtwirtschaftliche Entwicklung – ein Literaturüberblick zu Mancur Olsons Theorie,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2021-12-09,2021-12-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Open Research Seminar ICAE
Competition in Transitional Processes: Polanyi and Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Heck, Ines",2021-10-09,2021-10-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,24th Annual Conference of the European Society of the History of Economic Thought
Competition in Transitional Processes: Polanyi and Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2021-10-09,2021-10-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,24th Annual Conference of the European Society of the History of Economic Thought
Competition in Transitional Processes: Polanyi and Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2021-10-09,2021-10-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,24th Annual Conference of the European Society of the History of Economic Thought
(Mis)Measuring Competitiveness: The Quantification of a Malleable Concept in the European Semester,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference
(Mis)Measuring Competitiveness: The Quantification of a Malleable Concept in the European Semester,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference
Komplexitätsökonomik – eine Einführung,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-12-03,2021-12-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
Freihandelsdebatten in der Ökonomie,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-11-30,2021-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Freihandelsdebatten in der Ökonomie,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-11-30,2021-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Großer Betrug am kleinen Bürger: Warum zahlen wir noch Steuern?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2016-04-08,2016-04-08,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Talk im Hangar7
Widersprüche in der Ökonomie,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2018-08-24,2018-08-24,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,SOT-Summer Academy
The Kaldor paradox revisited: New evidence in times of increasing openness“,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2018-09-07,2018-09-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Annual Meeting of the European Association for Evolutionary Economy
The Kaldor paradox revisited: New evidence in times of increasing openness“,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2018-09-07,2018-09-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Annual Meeting of the European Association for Evolutionary Economy
The Kaldor paradox revisited: New evidence in times of increasing openness“,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2018-09-07,2018-09-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Annual Meeting of the European Association for Evolutionary Economy
The focus of academic economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2018-10-28,2018-10-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,22. FMM-Konferenz
Allbetroffenheit in der Pandemie? Ein soziologischer Blick auf das Erleben der Auswirkungen der Corona-Krise,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2020-10-17,2020-10-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum 2020
Der Wert des Widerspruchs für die demokratische Praxis,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2019-10-11,2019-10-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum 2019
The two transitions from algebraic to analytical thinking in economics in the 18th and 19th century,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2017-02-09,2017-02-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Tagung des DFG-Netzwerkes ""Soziologie des ökonomischen Denkens"""
Neoliberale Think Tanks als Katalysatoren gesellschaftlicher Reformdiskurse.,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2017-04-21,2017-04-21,,Institut für Politikwissenschaft und Sozialpolitik (+1 weitere),,ESPAnet Austria: 1. Forschungskonferenz Sozialpolitik
Neoliberale Think Tanks als Katalysatoren gesellschaftlicher Reformdiskurse.,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Stelzer-Orthofer, Christine",,2017-04-21,2017-04-21,,Institut für Politikwissenschaft und Sozialpolitik (+1 weitere),,ESPAnet Austria: 1. Forschungskonferenz Sozialpolitik
(Mis)Measuring Competitiveness: The Quantification of a Malleable Concept in the European Semester,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-11-06,2021-11-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Young Economists Conference 2021
(Mis)Measuring Competitiveness: The Quantification of a Malleable Concept in the European Semester,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2021-11-06,2021-11-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Young Economists Conference 2021
Competition in Transitional Processes: Polanyi & Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Heck, Ines",2021-07-09,2021-07-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Conference of the International Schumpeter Society
Competition in Transitional Processes: Polanyi & Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2021-07-09,2021-07-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Conference of the International Schumpeter Society
Competition in Transitional Processes: Polanyi & Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2021-07-09,2021-07-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Conference of the International Schumpeter Society
Competition in Transitional Processes: Polanyi & Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Heck, Ines",2022-01-10,2022-01-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Pluralumni Netzwerk
Competition in Transitional Processes: Polanyi & Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2022-01-10,2022-01-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Pluralumni Netzwerk
Competition in Transitional Processes: Polanyi & Schumpeter,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2022-01-10,2022-01-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Pluralumni Netzwerk
Constellations (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Hirte, Katrin",,2018-10-01,2018-10-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Zeitschrift für Politikwissenschaft (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Hirte, Katrin",,2021-11-01,2021-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Journal of Language and Politics (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Hirte, Katrin",,2017-11-01,2017-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Heterodox Economics Newsletter (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Herausgeber*in,"Kapeller, Jakob",,2013-01-01,2026-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Heterodox Economics Newsletter (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Herausgeber*in,"Rath, Johanna",,2019-01-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Schütz, Bernhard",,2020-09-25,2020-09-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch
Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Rath, Johanna",,2020-09-25,2020-09-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch
Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2020-09-25,2020-09-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch
Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Kapeller, Jakob",,2020-09-25,2020-09-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch
Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hirte, Katrin",,2020-09-25,2020-09-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch
Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Rath, Johanna",,2022-09-28,2022-09-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften
Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2022-09-28,2022-09-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften
Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Porak, Laura",,2022-09-28,2022-09-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften
Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hager, Theresa",,2022-09-28,2022-09-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften
Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Gräbner-Radkowitsch, Claudius",,2022-09-28,2022-09-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften
Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Aistleitner, Matthias",,2022-09-28,2022-09-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften
Back to the future? Pluralist economics coming of age in an era of multiple crises,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Reinke, Rouven",2022-10-10,2022-10-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Back to the future? Pluralist economics coming of age in an era of multiple crises
Back to the future? Pluralist economics coming of age in an era of multiple crises,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Porak, Laura",,2022-10-10,2022-10-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Back to the future? Pluralist economics coming of age in an era of multiple crises
Review of Political Economy (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2022-03-01,2022-03-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Cambridge Journal of Economics (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2022-03-01,2022-03-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
