title,date,type,id,person,citation,invited-by,original-title,place
Konkurrierende Vergangenheit - Geschichte und Gegengeschichte zur Vergangenheit der Nachkriegsgeneration der deutschen Agrarpolitikprofessoren,29.09.2011,Vortrag auf einer Tagung (referiert),11399,Hirte K.,", Österreich, 29.09.2011",,"Dreiländerkongress der Deutschen Gesellschaft für Soziologie, der Österreichischen Gesellschaft für Soziologie und der Schweizerischen Gesellschaft für Soziologie",Innsbruck
Performativity - ein theoretischer Ansatz zur Wirkungsanalyse der Ökonomie auf die Gesellschaft?,28.09.2011,Vortrag auf einer Tagung (referiert),11396,Hirte K.,", Deutschland, 28.09.2011",Universität Kassel,Tagung: Krise des Kapitalismus und die Zukunft der ökonomischen Wissenschaft,
Geographische Bezüge in professoralen Netzwerken - universitäre Lieferbeziehungen in der deutschen Agrarpolitik und Agrarökonomie,27.05.2011,Vortrag auf einer Tagung (referiert),8841,Hirte K.,", Deutschland, 27.05.2011",,,Universität Sarbrücken
Die professorale Scientific Community der deutschen Agrarökonomie und Agrarpolitik vor und nach 1945,05.05.2011,Vortrag auf einer Tagung (referiert),8834,Hirte K.,", Deutschland, 05.05.2011",,Prosopographische Arbeiten. Inhalte - Methoden - Erfahrungen - Desiderata,"Herder-Institut, Marburg"
"Akteur und Markt, Subjekt und Ordnung in der ökonomischen Theorie",24.02.2011,Vortrag auf einer Tagung (referiert),8833,Ötsch W.,", Deutschland, 24.02.2011",,,"Geisteswissenschaftliches Zentrum Moderner Orient (ZMO), Berlin"
Ego-Netzwerke 1933 bis nach 1945 im Zeitverlauf - Brüche? Kontinuitäten? Typica?,13.11.2010,Vortrag auf einer Tagung (referiert),8846,Hirte K.,", Österreich, 13.11.2010",,,Universität Wien
Solidarität im Kapitalismus,22.10.2010,Vortrag auf einer Tagung (referiert),11392,"Pühringer M., Pühringer S.",", Österreich, 22.10.2010",,3. Momentum Kongress in Hallstatt,Hallstatt
Vielschichtigkeit in der Realität - Stringenz in der Analyse? Das Problem der Datenbewältigung bei der Erstellung von Ego-Netzwerken.,18.09.2010,Vortrag auf einer Tagung (referiert),8850,Hirte K.,", Deutschland, 18.09.2010",Methodenworkshop Netzwerkforschung in den Geistes- und Sozialwissenschaften,Methodenworkshop Netzwerkforschung in den Geistes- und Sozialwissenschaften,Universität Trier
"Die Evolution ökonomischen Wissens und des Wissens über den Kapitalismus. Performativity als Analyseinstrument: das Beispiel der Fabian Society, der Mont Pelerin Society und der Chicagoer Schule",03.07.2010,Vortrag auf einer Tagung (referiert),8851,"Hirte K., Nordmann J., Ötsch W.",", Österreich, 03.07.2010",,Jahrestagung des Ausschusses Evolutorische Ökonomik,"Verein für Socialpolitik, Linz"
Aktionsforschung – ein Weg zum Design institutioneller Neuerungen,10.06.2010,Vortrag auf einer Tagung (referiert),21759,Knierim A.,", Deutschland, 10.06.2010",Fachtagung „Anpassung an den Klimawandel – regional umsetzen!“,,Darmstadt
Netzwerkanalytische Betrachtungen zu historischen Verläufen - Vorteile und neue Erkenntnisse? (am Beispiel der Historie der professoralen Agrarökonomen Deutschlands 1933 bis 1955),30.05.2010,Vortrag auf einer Tagung (referiert),8855,Hirte K.,", Deutschland, 30.05.2010",,Workshop Historische Netzwerkforschung,Universität Essen
Institutionalisierungsprozesse im Ökologischen Landbau in den Neuen Bundesländern. Die GÄA e. V. und Biopark.,11.02.2009,Vortrag auf einer Tagung (referiert),17800,Hirte K.,", Schweiz, 11.02.2009",,10. Wissenschaftstagung Ökolandbau,Zürich
Competing for Sustainability? An institutionalist analysis of the new development model of the EU,27.06.2023,Vortrag auf einer Tagung (nicht referiert),38989,"Gräbner-Radkowitsch C., Hager T., Hornykewycz A.",", Deutschland, 27.06.2023",,,
The Political Economy of Measuring Competitiveness,28.09.2022,Vortrag auf einer Tagung (nicht referiert),37344,"Gräbner-Radkowitsch C., Hager T.",", Österreich, 28.09.2022","SPACE-Abschlusskonferenz, Universität Wien",Mission Competition. Transdisziplinäre Perspektiven auf Wettbewerbsgesellschaften.,
"Competitive Performativity of Academic Social Networks. The Subjectification of Competition on Researchgate, Twitter and Google Scholar",21.07.2022,Vortrag auf einer Tagung (nicht referiert),37614,Pühringer S.,", Österreich, 21.07.2022",,"Workshop „Rankings and the structure of Economics”, JKU Linz",
Freihandelsdebatten in der Ökonomie,30.11.2021,Vortrag auf einer Tagung (nicht referiert),34387,"Gräbner-Radkowitsch C., Pühringer S.",", Österreich, 30.11.2021",Universität Linz,,
Trade narratives of economists: A CDA approach,21.10.2021,Vortrag auf einer Tagung (nicht referiert),33622,Pühringer S.,", Österreich, 21.10.2021",,Workshop: Discourse Analysis in Economics,JKU Linz
"Ökonomisches Denken selbst bewertet – Muster, Mechanismen und Dynamiken in der ökonomischen Dogmenhistorie",16.05.2019,Vortrag auf einer Tagung (nicht referiert),30666,Hirte K.,", Deutschland, 16.05.2019",,"Tagung des DFG-Netzwerkes ""Soziologie des ökonomischen Denkens""",Universität Kassel
Andersdenkende als Vordenker im wirtschaftswissenschaftlichen Feld,19.10.2018,Vortrag auf einer Tagung (nicht referiert),27516,Hirte K.,", Deutschland, 19.10.2018",,"Tagung des DFG-Netzwerkes ""Soziologie des ökonomischen Denkens""",Max-Planck-Institut Köln
Paradigmatische Homogenität? Aktueller Stand und  Zukunftsperspektiven der Ökonomik in Deutschland und den USA,20.10.2017,Vortrag auf einer Tagung (nicht referiert),25134,Grimm C.,", Österreich, 20.10.2017",,Momentum 2017: Vielfalt,Hallstatt
Pluralist and heterodox economics: Conceptual clarification and exemplary applications,15.03.2017,Vortrag auf einer Tagung (nicht referiert),23225,Kapeller J.,", Irland, 15.03.2017",,COST-Workshops,
Ansätze einer Verankerung wohlstandsorientierter Politik in Österreich,11.02.2017,Vortrag auf einer Tagung (nicht referiert),23548,Griesser M.,", Österreich, 11.02.2017",,Kongress „Gutes Leben für alle“,Wirtschaftsuniversität Wien
The two transitions from algebraic to analytical thinking in economics in the 18th and 19th century,09.02.2017,Vortrag auf einer Tagung (nicht referiert),32069,Hirte K.,", Deutschland, 09.02.2017",,"Tagung des DFG-Netzwerkes ""Soziologie des ökonomischen Denkens""",Universität München
Profil der deutschsprachigen Volkswirtschaftslehre. Paradigmatische Ausrichtung und politische Wirkmächtigkeit deutschsprachiger Ökonom_innen,05.11.2016,Vortrag auf einer Tagung (nicht referiert),25136,Grimm C.,", Deutschland, 05.11.2016",,FGW Jahrestagung,Düsseldorf
"Die Macht ökonomischer Modelle am Beispiel des ""Potential-Output""-Modells der Europäischen Kommission",14.10.2016,Vortrag auf einer Tagung (nicht referiert),21513,Heimberger P.,", Österreich, 14.10.2016",,Momentum - Macht,
"Performativität, Machtverhältnisse und Ökonomik. Zur Frage der Homogenität in der deutschsprachigen Ökonomik",14.10.2016,Vortrag auf einer Tagung (nicht referiert),25137,Grimm C.,", Österreich, 14.10.2016",,Momentum 2016: Macht,Hallstatt
Entstehen und Vergehen der deutschen Heterodoxen ab den 1970ern,11.02.2016,Vortrag auf einer Tagung (nicht referiert),21302,Hirte K.,", Deutschland, 11.02.2016",DFG-Netzwerk „Soziologie des ökonomischen Denkens“,"Tagung des DFG-Netzwerkes ""Soziologie des ökonomischen Denkens"", Universität Frankfurt am Main",Universität Frankfurt am Main
Austeritätspolitik in Zeiten der Eurokrise: Wachstumseffekte der fiskalischen Konsolidierungsmaßnahmen 2011-2013,05.12.2015,Vortrag auf einer Tagung (nicht referiert),19242,Heimberger P.,", Österreich, 05.12.2015",,Ökonomie! Welche Ökonomie? Zu Stand und Status der Wirtschaftswissenschaft,Linz
Die Rolle der Politik in der Entwicklung des Schattenbankensektors,04.12.2015,Vortrag auf einer Tagung (nicht referiert),19244,"Beyer K., Bräutigam L.",", Österreich, 04.12.2015",,Ökonomie! Welche Ökonomie? Zu Stand und Status der Wirtschaftswissenschaft,
Did Fiscal Consolidation Cause the Double Dip Recession in the Euro Area?,23.10.2015,Vortrag auf einer Tagung (nicht referiert),19241,Heimberger P.,", Deutschland, 23.10.2015",,The Spectre of Stagnation? Europe in the World Economy,Berlin
Philosophien der Verteilungsgerechtigkeit,20.06.2015,Vortrag auf einer Tagung (nicht referiert),18993,Pühringer S.,", Österreich, 20.06.2015",,6. Sommerakademie des ICAE: Kapitalismus und Gerechtigkeit - Die Rolle der Ungleichheit im 21. Jahrhundert,Linz
Piketty verstehen,20.06.2015,Vortrag auf einer Tagung (nicht referiert),18039,Kapeller J.,", Österreich, 20.06.2015",,6. Sommerakademie des ICAE,Universität Linz
"Markt, Marktakteure und die Rolle des Staates im Wirtschaftsleben",12.12.2014,Vortrag auf einer Tagung (nicht referiert),16929,Bräutigam L.,", Österreich, 12.12.2014",Institut für die Gesamtanalyse der Wirtschaft,Markt! Welcher Markt? Der interdisziplinäre Diskurs um Märkte und Marktwirtschaft,Linz
“Der” Markt: Genese und Wirkungsweise eines vieldeutigen Begriffs,12.12.2014,Vortrag auf einer Tagung (nicht referiert),16926,Ötsch W.,", Österreich, 12.12.2014",Institut für die Gesamtanalyse der Wirtschaft,Markt! Welcher Markt? Der interdisziplinäre Diskurs um Märkte und Marktwirtschaft,Linz
„Der Markt als Richter“. Marktdisziplin und Austeritätspolitik,12.12.2014,Vortrag auf einer Tagung (nicht referiert),16928,Pühringer S.,", Österreich, 12.12.2014",Institut für die Gesamtanalyse der Wirtschaft,Markt! Welcher Markt? Der interdisziplinäre Diskurs um Märkte und Marktwirtschaft,Linz
Moderation einer Diskussion zur Sozialen Markwirtschaft,11.12.2014,Vortrag auf einer Tagung (nicht referiert),16925,Ötsch W.,", Österreich, 11.12.2014",Institut für die Gesamtanalyse der Wirtschaft,Markt! Welcher Markt? Der interdisziplinäre Diskurs um Märkte und Marktwirtschaft,Linz
Gewerkschaftliche Erneuerung durch Bewegungen der Migration?,29.11.2014,Vortrag auf einer Tagung (nicht referiert),18292,Griesser M.,", Österreich, 29.11.2014",,Workshop „(Kritische) Gewerkschaftsforschung in Österreich“,Universität Wien
Financial Markets: A Critical Approach to their Functions and Impact on Economy.,19.11.2014,Vortrag auf einer Tagung (nicht referiert),16886,Bräutigam L.,", Zypern, 19.11.2014",EAEPE (European Association of Evolutionary Political Economy),Unemployment and Austerity in Mediterranean Countries,Nikosia und Aya Napa
Emanzipation bei Marx und seine Kritik an Proudhon und dessen ideengeschichtlichen Nachfahren,18.10.2014,Vortrag auf einer Tagung (nicht referiert),16834,Beyer K.,", Österreich, 18.10.2014",Momentum-Kongress 2014,,Hallstatt
Eigene Bilder von Identität und Zugehörigkeit erfahren und verändern,24.10.2013,Vortrag auf einer Tagung (nicht referiert),15069,Ötsch W.,", Österreich, 24.10.2013","Arbeiterkammer Kärnten, der Fachhochschule und Pädagogischen Hochschule Kärnten",Alltagsrassismus,Klagenfurt
"Populismus und Demagogie. Inhalte und Muster eines gefährlichen Denkens, mit Beispielen bis zur Tea Party und Frank Stronach",24.10.2013,Vortrag auf einer Tagung (nicht referiert),15068,Ötsch W.,", Österreich, 24.10.2013","Arbeiterkammer Kärnten, der Fachhochschule und Pädagogischen Hochschule Kärnten",Alltagsrassismus,Klagenfurt
Vortrag CDOs - A Critical Phenomenon of the Financial System in the Crisis,10.09.2013,Vortrag auf einer Tagung (nicht referiert),15053,"Beyer K., Bräutigam L.",", Österreich, 10.09.2013",Arbeiterkammer Wien,The Economy in Crisis and the Crisis in Economics,Wien
Die Finanzkrise 2007-2009 als Krise von Schattenbanken. Eine institutionelle Analyse,06.07.2013,Vortrag auf einer Tagung (nicht referiert),15049,Ötsch W.,", Niederlande, 06.07.2013",,Jahrestagung des Ausschusses Evolutorische Ökonomik im Verein für Socialpolitik,Delft
Finanzkapitalismus: was ist das? Strukturen eines Machtsystems,18.05.2013,Vortrag auf einer Tagung (nicht referiert),15042,Ötsch W.,", Österreich, 18.05.2013",,9. Internationales Open Space „Geld oder Leben – Symposium für eine lebensfreudige Finanzwirtschaft“,Schrems
Bürgerbeteiligungsmodelle,15.04.2013,Vortrag auf einer Tagung (nicht referiert),15039,Plaimer W.,", Österreich, 15.04.2013",,Bezirksparteiausschuss der SPÖ,Steyr
Finanzkrise und Staatschuldenkrise,27.03.2013,Vortrag auf einer Tagung (nicht referiert),15037,Ötsch W.,", Österreich, 27.03.2013",,Bezirkskonferenz des SPÖ-Pensionistenverbandes,Mattighofen
Finanzkrise und Staatschuldenkrise,20.03.2013,Vortrag auf einer Tagung (nicht referiert),15036,Ötsch W.,", Österreich, 20.03.2013",,Bezirkskonferenz des SPÖ-Pensionistenverbandes,Eferding
Einführung in das Schattenbankensystem,01.03.2013,Vortrag auf einer Tagung (nicht referiert),15034,Ötsch W.,", Österreich, 01.03.2013",,Workshop Schattenbanken,Arbeiterkammer Oberösterreich Linz
Podiumsdiskussion: Zur Lage der Demokratie,24.01.2013,Vortrag auf einer Tagung (nicht referiert),15032,Nordmann J.,", Österreich, 24.01.2013",,Demokratiewerkstatt,Linz
"Diskussionsbeitrag zu: Ötsch, Silke: Our banking secrecy is a strong castle",30.11.2012,Vortrag auf einer Tagung (nicht referiert),12914,Pühringer S.,", Österreich, 30.11.2012",Institut für die Gesamtanalyse der Wirtschaft,Die Politische Ökonomie von Regulierungsoasen,Wissensturm Linz
The Political Economy of Offshore Jurisdictions: Its Neoliberal Background,30.11.2012,Vortrag auf einer Tagung (nicht referiert),12913,Ötsch W.,", Österreich, 30.11.2012",Institut für die Gesamtanayse der Wirtschaft,Die Politische Ökonomie von Regulierungsoasen,Wissensturm Linz
Eröffnung der 4. Jahrestagung Die Politische Ökonomie von Regulierungsoasen,29.11.2012,Vortrag auf einer Tagung (nicht referiert),12911,Ötsch W.,", Österreich, 29.11.2012",Institut für die Gesamtanalyse der Wirtschaft,Die Politische Ökonomie von Regulierungsoasen,Wissensturm Linz
Wieviel Sturm verträgt der Euro-Rettungsschirm?,12.11.2012,Vortrag auf einer Tagung (nicht referiert),12909,Ötsch W.,", Österreich, 12.11.2012","Gesellschaft für Kommunikation, Entwicklung und dialogische Bildung",,Salzburg
How liberalism lost its concept of democracy.,28.09.2012,Vortrag auf einer Tagung (nicht referiert),12907,Pühringer S.,", Österreich, 28.09.2012",,"Momentum Kongress 2012 im Panel “Recht, Freiheit, Demokratie”.",
Postdemokratie in Österreich,28.09.2012,Vortrag auf einer Tagung (nicht referiert),12908,Plaimer W.,", Österreich, 28.09.2012",,"Momentum Kongress 2012 im Panel “Recht, Freiheit, Demokratie”",
"Lenken im Hamsterrad? Politisches Handeln in Zeiten von Finanz-Spekulationen, Schuldenkrisen und allmächtigen Konzernen",25.09.2012,Vortrag auf einer Tagung (nicht referiert),12906,Ötsch W.,", Österreich, 25.09.2012",,Werkstatt-Gespräche Bludenz,Bludenz
Hintergründe der Staatsschuldenkrise – wie denken die handelnden Akteure?,17.09.2012,Vortrag auf einer Tagung (nicht referiert),12902,Ötsch W.,", Österreich, 17.09.2012",Management Club Salzburg,,Salzburg
Das Institut für die Gesamtanalyse der Wirtschaft,11.09.2012,Vortrag auf einer Tagung (nicht referiert),12900,Hirte K.,", Deutschland, 11.09.2012",Vereins für Socialpolitik des Netzwerkes Real World Economics,1. pluralistischen Ergänzungsveranstaltung zur Jahrestagung,Göttingen
Theoriegeschichte als (kritische) Kulturgeschichte,10.09.2012,Vortrag auf einer Tagung (nicht referiert),12899,Ötsch W.,", Deutschland, 10.09.2012",Vereins für Socialpolitik des Netzwerkes Real World Economics,1. pluralistischen Ergänzungsveranstaltung zur Jahrestagung,Göttingen
Finanzmärkte und Postdemokratie,27.08.2012,Vortrag auf einer Tagung (nicht referiert),12898,Ötsch W.,", Österreich, 27.08.2012","Katholisches Bildungswerk Wien, Groß-Enzersdorf",,Großenzersdorf
Ratingagenturen in der neoliberalen Wirtschaft,26.04.2012,Vortrag auf einer Tagung (nicht referiert),11428,Ötsch W.,", Österreich, 26.04.2012",software-systems.at,Länder- und Regionenrating,Österreichische Kontrollbank Wien
Krise in Europa,12.04.2012,Vortrag auf einer Tagung (nicht referiert),11427,Ötsch W.,", Österreich, 12.04.2012",Forschungsplattform Politik - Religion - Kunst Innsbruck,Frühjahrstagung 2012: Katastrophen,Universität Innsbruck
Die neoliberale Oligarchie. Zum aktuellen Verhältnis von Besitz und Macht in der Demokratie,02.12.2011,Vortrag auf einer Tagung (nicht referiert),11413,Nordmann J.,", Österreich, 02.12.2011",,Demokratie! Welche Demokratie?,Wissensturm Linz
Postdemokratie in Österreich? Am Beispiel von politischen Entscheidungsprozessen,02.12.2011,Vortrag auf einer Tagung (nicht referiert),11414,Plaimer W.,", Österreich, 02.12.2011",,Demokratie! Welche Demokratie?,Wissensturm Linz
Veränderung von Machtverhältnissen in politischen Entscheidungsprozessen,28.10.2011,Vortrag auf einer Tagung (nicht referiert),11406,"Nordmann J., Plaimer W.",", Österreich, 28.10.2011",,"Momentum 4, Track 5: Was ist Gleichheit?",Hallstadt
Gleichheit versus Vielfalt. Ein konstruierter Widerspruch?,27.10.2011,Vortrag auf einer Tagung (nicht referiert),11405,Pühringer S.,", Österreich, 27.10.2011",,"Momentum 4, Track 5: Was ist Gleichheit?",Hallstadt
"Gesellschaft bei Marx und im Neoliberalismus: die Gesellschaft ""des Marktes""",14.10.2011,Vortrag auf einer Tagung (nicht referiert),11403,Ötsch W.,", Deutschland, 14.10.2011",,"Arbeitskreis Politische Ökonomie zum Thema ""Karl Marx 2011""",Trier
Keine Alternative. Neoliberale Positionen in den Printmedien nach dem Crash,29.09.2011,Vortrag auf einer Tagung (nicht referiert),11398,Nordmann J.,", Österreich, 29.09.2011",,"Dreiländerkongress der Deutschen Gesellschaft für Soziologie, der Österreichischen Gesellschaft für Soziologie und der Schweizerischen Gesellschaft für Soziologie",Innbruck
Reasons behind the actual cris of Euro,30.07.2011,Vortrag auf einer Tagung (nicht referiert),11395,Ötsch W.,", Österreich, 30.07.2011",,World Festival der International Union of Socialist Youth,Weißenbach am Attersee
"Mechanismen der Finanzmärkte, Globalisierung und Wirtschaftskrise",28.05.2011,Vortrag auf einer Tagung (nicht referiert),8842,Ötsch W.,", Österreich, 28.05.2011",,Management und Leadership für Frauen,
Gibt es eine neoliberale Gesellschaft? Theoretische Überlegungen zur Analyse eines ambivalenten Phänomens,03.12.2010,Vortrag auf einer Tagung (nicht referiert),8844,Nordmann J.,", Österreich, 03.12.2010",,,Tagung: Gesellschaft! Welche Gesellschaft?
"Der Begriff ""der Markt"" im Diskurs um die Wirtschaft - Die Tiefenbedeutung von ""Markt"". Ein Schlüssel zum Verständnis der neoliberal-marktradikalen Gesellschaft",22.10.2010,Vortrag auf einer Tagung (nicht referiert),8849,Ötsch W.,", Österreich, 22.10.2010",,,Hallstadt
"Trash, Skandale und Ratschläge statt Aufklärung und politische Bildung. Über das Zusammenspiel von kommerzialisierten Medien und gemachter Meinung in der neoliberalen Gesellschaft",22.10.2010,Vortrag auf einer Tagung (nicht referiert),8848,Nordmann J.,", Österreich, 22.10.2010",,"3. Momentum Kongress, Hallstadt",Hallstatt
"Wirtschaftskrise, Sparpakete und politische Optionen",22.06.2010,Vortrag auf einer Tagung (nicht referiert),8853,Ötsch W.,", Österreich, 22.06.2010",,Klausur der Landtagklubs der SPÖ,Bad Ischl
Mythos Markt. Marktradikale Propaganda und ökonomische Theorie,22.04.2010,Vortrag auf einer Tagung (nicht referiert),8859,Ötsch W.,", Österreich, 22.04.2010",,Bündnis für Eine Welt/ÖIE mit ATTAC-Kärnten,Klagenfurt
Was ist Grün,13.03.2010,Vortrag auf einer Tagung (nicht referiert),8861,Ötsch W.,", Österreich, 13.03.2010",Die Grünen,Alternative gefragt?! Politische Theorie und Geschichte der Grünen,Wien
"Arbeitsmarkt der Zukunft, Zukunft der Sozialwirtschaft",25.02.2010,Vortrag auf einer Tagung (nicht referiert),8862,Ötsch W.,", Österreich, 25.02.2010",Sozialplattform Oberösterreich,Sozialwirtschaft. Wandel-Zukunft-Chancen,Linz
Nach der Wirtschaftskrise: was haben wir gelernt?,18.02.2010,Vortrag auf einer Tagung (nicht referiert),8865,Ötsch W.,", Österreich, 18.02.2010",,Podiumsdiskussion,"Hotel Park Inn, Linz"
Zur Transformation der ostdeutschen Agrarstrukturen 1990/1991 sowie zu ihrer neuerlichen Transformation,31.01.2018,Habilitationsvortrag,25935,Hirte K.,", Deutschland, 31.01.2018",Universität Jena,,Universität Jena
Beyond Equilibrium: Revisting Two-Sided Markets from an Agent-Based Perspective,29.09.2017,Posterpräsentation,24014,"Gräbner-Radkowitsch C., Heinrich T.",", Vereinigte Staaten, 29.09.2017",,Conference on Complex Systems,"Tempe, Arizona"
Inequalities in green transitions: The neglected role of collective infrastructures and institutions,17.12.2024,Andere Vorträge und Präsentationen,42468,Terhorst C.,", Österreich, 17.12.2024",,ICAE Research Seminar,
Gestalte das perfekte Wirtschaftssystem,29.11.2024,Andere Vorträge und Präsentationen,42049,"Hornykewycz A., Sommer M.",", Österreich, 29.11.2024",,,
"Input bei Konferenz ""Monster verstehen"" in Schiene III zu ""Wer verfolgt welche Transformationsstrategien in Deutschland und Europa? Und was wäre eine progressive Strategie für den wirtschaftlichen Umbau?""",16.11.2024,Andere Vorträge und Präsentationen,42754,Eder J.,", Deutschland, 16.11.2024",,,
Input bei Research Seminar des ICAE: Identifying and overcoming the challenges of the Austrian mobility,05.11.2024,Andere Vorträge und Präsentationen,42748,Eder J.,", Österreich, 05.11.2024",,,
JKU Science Holidays: Gestalte das perfekte Wirtschaftssystem,24.07.2024,Andere Vorträge und Präsentationen,42052,Hornykewycz A.,", Österreich, 24.07.2024",,,
JKU Science Holidays: Gestalte das perfekte Wirtschaftssystem,23.07.2024,Andere Vorträge und Präsentationen,42051,Hornykewycz A.,", Österreich, 23.07.2024",,,
JKU Science Holidays: Gestalte das perfekte Wirtschaftssystem,16.07.2024,Andere Vorträge und Präsentationen,42050,Hornykewycz A.,", Österreich, 16.07.2024",,,
Wirtschaftliche Herausforderungen im 21. Jahrhundert,18.06.2024,Andere Vorträge und Präsentationen,41795,"Cserjan L., Porak L.",", Österreich, 18.06.2024",JKU Linz,,Schüler*innenworkshop
Short-term Employment and Social Stratification in Austrian Academia,16.01.2024,Andere Vorträge und Präsentationen,41794,Rath J.,", Österreich, 16.01.2024",,ICAE Research Seminar 2023/24,
Unternehmenslobbys drängen immer stärker in die Schulen. Expert*innen diskutierten über eine zukunftsfähige Wirtschaftsbildung,24.11.2023,Andere Vorträge und Präsentationen,40342,Pühringer S.,", Österreich, 24.11.2023",Attac Österreich,,Podiumsdiskussion
Kurt Rothschild Preisverleihung 2022,23.11.2023,Andere Vorträge und Präsentationen,40377,Kapeller J.,", Österreich, 23.11.2023",Interview mit Jakob Kapeller als Juryvorsitzender,,Renner Institut
Beschäftigungspolitische Implikationen einer sozial-ökologischen Transformation am Beispiel der Fahrzeuglieferindustrie in OÖ,20.11.2023,Andere Vorträge und Präsentationen,40374,Aistleitner M.,", Österreich, 20.11.2023","Arbeitnehmer*innen-Kurie des AMS, AK OÖ Linz",,
"Kapitalismus und Demokratie im Wandel: Marx, Polanyi und Schumpeter im Dialog",20.11.2023,Andere Vorträge und Präsentationen,40373,Rath J.,", Österreich, 20.11.2023",Entwicklungspolitische Hochschulwochen Linz 2023,Entwicklungspolitische Hochschulwochen Linz 2023,
Wettbewerbsfähige Nachhaltigkeit: Eine Historisch-Materialistische Analyse der Europäischen grünen Transformation,09.05.2023,Andere Vorträge und Präsentationen,37631,Porak L.,", Österreich, 09.05.2023","Research Seminar, ICAE",,
Eliten und Demokratie — zur Etablierung der funktionalistischen Elite- und Demokratieauffassung nach 1945 und die Rolle von C. J. Friedrich,02.05.2023,Andere Vorträge und Präsentationen,36033,Hirte K.,", Österreich, 02.05.2023","Open Research Seminar, ICAE",,
Exzellent prekär,22.04.2023,Andere Vorträge und Präsentationen,37671,Pühringer S.,", Österreich, 22.04.2023","NUWiss Gründungsevent, Universität Wien",,Teilnahme Podiumsdiskussion
NUWiss vor Ort. Die lokalen Unterbauinitiativen: Unterbau Linz,22.04.2023,Andere Vorträge und Präsentationen,37667,Hager T.,", Österreich, 22.04.2023","NUWiss Gründungsevent, Universität Wien",,
Catering for the interests of the richest or staunch fighters for social justice? A long-term perspective on media discourses of economic inequality in the US press,28.03.2023,Andere Vorträge und Präsentationen,37629,Theine H.,", Österreich, 28.03.2023","Research Seminar, ICAE",,
Backlash or Progress? - Exploring the long-time effect of Covid-policies on the division of care work,21.03.2023,Andere Vorträge und Präsentationen,37630,Rath M.,", Österreich, 21.03.2023","Research Seminar, ICAE",,
Forschung über Wissenschaft,06.02.2023,Andere Vorträge und Präsentationen,37633,Aistleitner M.,", Österreich, 06.02.2023","Research Seminar, ICAE",,
"Competitization and Quantification in academic Economics: Origins, Evolution and Implications",31.01.2023,Andere Vorträge und Präsentationen,37634,"Gräbner-Radkowitsch C., Pühringer S.",", Österreich, 31.01.2023","Research Seminar, ICAE",,
Underdemand or undersupply of labour? Automation and employment in the Austrian automotive sector. A value chain perspective,24.01.2023,Andere Vorträge und Präsentationen,37635,Ferschli B.,", Österreich, 24.01.2023","Research Seminar, ICAE",,
"Supply, Demand, and Preferences: Determinants of Meat Consumption in Spain: 1964 – 2019",17.01.2023,Andere Vorträge und Präsentationen,37636,Delgado P.,", Österreich, 17.01.2023","Research Seminar, ICAE",,
Wechselseitige Kritik ist nur möglich mit nachvollziehbarer Forschung,29.12.2022,Andere Vorträge und Präsentationen,37669,Kapeller J.,", Deutschland, 29.12.2022",ZBW Leibniz Informationszentrum Wirtschaft,,Interview
Bane or Boon: On Technological Competitiveness and Joining the European Union,20.12.2022,Andere Vorträge und Präsentationen,37336,Hager T.,", Österreich, 20.12.2022",,Open Research Seminar ICAE,
"How public economists in Germany are thinking about the economy, economic policy, and economics",13.12.2022,Andere Vorträge und Präsentationen,37637,"Porak L., Reinke R.",", Österreich, 13.12.2022","Research Seminar, ICAE",,
Battle over Indicators or a battle of ideas?,06.12.2022,Andere Vorträge und Präsentationen,37638,"Aistleitner M., Hager T., Porak L., Pühringer S., Rath J.",", Österreich, 06.12.2022","Research Seminar, ICAE",,
Don’t fear the reaper — Tax policy frames in German print media,29.11.2022,Andere Vorträge und Präsentationen,37639,Gartiser M.,", Österreich, 29.11.2022","Research Seminar, ICAE",,
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,24.11.2022,Andere Vorträge und Präsentationen,37602,Pühringer S.,", Österreich, 24.11.2022","Mittelbau-Vollversammlung, Universität Wien",,
The implementation of policies for excellence in French higher education,22.11.2022,Andere Vorträge und Präsentationen,37640,Harroche A.,", Österreich, 22.11.2022","Research Seminar, ICAE",,
Criticizing Economics for its Lack of Realism?,15.11.2022,Andere Vorträge und Präsentationen,37641,Schnitzer H.,", Österreich, 15.11.2022","Research Seminar, ICAE",,
The Translation of Social Relations into Computer-Based Models: New Possibilities and Familiar Limitations,14.11.2022,Andere Vorträge und Präsentationen,37274,"Hornykewycz A., Rath J.",", Österreich, 14.11.2022",Thomas Gegenhuber und Barbara Stiglbauer,"Gastvortrag MA ""digital society"", LV ""Interdisziplinäres Projekt: Digitalisierung interdisziplinär"" (LVA-Nr. 232477 2022W)",
Employment Relationships in the Age of Digitalization,08.11.2022,Andere Vorträge und Präsentationen,37642,Hornykewycz A.,", Österreich, 08.11.2022","Research Seminar, ICAE",,
Netzwerke der Superreichen in Österreich,25.10.2022,Andere Vorträge und Präsentationen,37643,"Aistleitner M., Pühringer S.",", Österreich, 25.10.2022","Research Seminar, ICAE",,
European Cohesion Policy in Times of Austerity: A Regional Analysis of Germany and Portugal,18.10.2022,Andere Vorträge und Präsentationen,37644,Neujeffski M.,", Österreich, 18.10.2022","Research Seminar, ICAE",,
