Titel,Personen,Jahr,Peer-Review erfolgt,Übergeordneter Typ,Serienvolumen,Seriennummer,Serienname,APA-Format,Organisationseinheit
Demokratie in Liberalismus und Neoliberalismus,"Pühringer, Stephan (+1 weitere)",2015,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., & Pühringer, S. (2015). Demokratie in Liberalismus und Neoliberalismus. In Seckauer, Hansjörg/Stelzer-Orthofer, Christine/Kepplinger, Brigitte (Hrsg.), Das Vorgefundene und das Mögliche. Beiträge zur Gesellschafts- und Sozialpolitik zwischen Ökonomie und Moral (S. 111-127). Mandelbaum. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The strange non-crisis of economics. Economic crisis and the crisis policies in economic and political discourses.,"Pühringer, Stephan",2015,Nicht festgelegt,Abschlussarbeiten,,,,"Pühringer, S. (2015). The strange non-crisis of economics. Economic crisis and the crisis policies in economic and political discourses. Universität Linz.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Zwischen Konjunkturpuffer und Tauschobjekt. Gewerkschaftliche Perspektiven auf Migration im Österreich der Zweiten Republik,"Griesser, Markus",2015,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Griesser, M., & Sauer, B. (2015). Zwischen Konjunkturpuffer und Tauschobjekt. Gewerkschaftliche Perspektiven auf Migration im Österreich der Zweiten Republik. Kurswechsel, (Heft 4), 58-66.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Rezension von „Martina Benz: Zwischen Migration und Arbeit. Worker Centers und die Organisierung prekär und informell Beschäftigter in den USA“,"Griesser, Markus",2015,Nicht festgelegt,Beitrag in Fachzeitschrift,,,,"Griesser, M. (2015). Rezension von „Martina Benz: Zwischen Migration und Arbeit. Worker Centers und die Organisierung prekär und informell Beschäftigter in den USA“. Forum Wissenschaft.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Der Staat als Wissensapparat. Konzeptionelle Überlegungen zu einer nicht-funktionalistischen Funktionsanalyse des Sozialstaats,"Griesser, Markus",2015,begutachtet,Beitrag in Fachzeitschrift,,,,"Griesser, M. (2015). Der Staat als Wissensapparat. Konzeptionelle Überlegungen zu einer nicht-funktionalistischen Funktionsanalyse des Sozialstaats. Zeitschrift für Sozialreform, 61, 103-124. https://doi.org/10.1515/zsr-2015-0105",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Markets as “ultimate judges” of economic policies - Angela Merkel´s discourse profile during the economic crisis and the European crisis policies.,"Pühringer, Stephan",2015,begutachtet,Beitrag in Fachzeitschrift,,,,"Pühringer, S. (2015). Markets as “ultimate judges” of economic policies - Angela Merkel´s discourse profile during the economic crisis and the European crisis policies. On the Horizon, 23(3), 246-259.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Beyond Foundations: Systemism in Economic Thinking,"Kapeller, Jakob",2015,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J. (2015). Beyond Foundations: Systemism in Economic Thinking. In Jo, Tae-Hee / Todorovka, Zdravka (Hrsg.), Advancing the Frontiers of Heterodox Economics: Essays in Honor of Frederic S. Lee (S. 115-134). Routledge. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Verteilung und Gerechtigkeit: Philosophische Perspektiven,"Aistleitner, Matthias (+3 weitere)",2015,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Aistleitner, M., Fölker, M., Kapeller, J., & Mohr, F. X. et al. (2015). Verteilung und Gerechtigkeit: Philosophische Perspektiven. Wirtschaft und Gesellschaft, 41(1), 71-106.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Markets as “ultimate judges” of economic policies - Angela Merkel´s discourse profile during the economic crisis and the European crisis policies.,"Pühringer, Stephan",2015,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,31,ICAE Working Paper Series,"Pühringer, S. (2015). Markets as “ultimate judges” of economic policies - Angela Merkel´s discourse profile during the economic crisis and the European crisis policies. (ICAE Working Paper Series; Nr. 31).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Verteilung und Gerechtigkeit: Philosophische Perspektiven,"Aistleitner, Matthias (+3 weitere)",2015,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,32,ICAE Working Paper Series,"Aistleitner, M., Fölker, M., Kapeller, J., & Mohr, F. X. et al. (2015). Verteilung und Gerechtigkeit: Philosophische Perspektiven. (ICAE Working Paper Series; Nr. 32).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Positionierung von Studierenden an öffentlichen Hochschulen,"Porak, Laura",2018,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Porak, L. (2018). Die Positionierung von Studierenden an öffentlichen Hochschulen. In Momentum Kongress Paper (S. 1-18)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Competitive Performativity of (Academic) Social Networks. The subjectivation of Competition on ResearchGate, Google Scholar und Twitter","Pühringer, Stephan",2023,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,150,ICAE Working Paper Series,"Pühringer, S., & Wolfmayr, G. (2023). Competitive Performativity of (Academic) Social Networks. The subjectivation of Competition on ResearchGate, Google Scholar und Twitter. (ICAE Working Paper Series; Nr. 150).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Der Fiskalpakt und seine Implementation in Österreich,"Pühringer, Stephan (+1 weitere)",2013,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Plaimer, W., & Pühringer, S. (2013). Der Fiskalpakt und seine Implementation in Österreich. In Momentum Kongress Paper (S. 1-20)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Zauberwort „Entkopplung“ – Ein Rückblick auf den Diskurs zur Agrarreform 2003 sowie die dortigen Diskrepanzen zwischen Versprechen und Wirkprinzipien der so genannten „Entkopplung“.,"Hirte, Katrin",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,12,ICAE Working Paper Series,"Hirte, K. (2013). Zauberwort „Entkopplung“ – Ein Rückblick auf den Diskurs zur Agrarreform 2003 sowie die dortigen Diskrepanzen zwischen Versprechen und Wirkprinzipien der so genannten „Entkopplung“. (ICAE Working Paper Series; Nr. 12).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Deep Meaning of “Market”. A Key to Understand the Neoliberal-­‐Market-­‐ Radical Society.,"Ötsch, Walter",2012,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,11,ICAE Working Paper Series,"Ötsch, W. (2012). The Deep Meaning of “Market”. A Key to Understand the Neoliberal-­‐Market-­‐ Radical Society. (ICAE Working Paper Series; Nr. 11).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Mainstream, Orthodoxie und Heterodoxie - Zur Klassifizierung der Wirtschaftswissenschaften.","Hirte, Katrin",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,16,ICAE Working Paper Series,"Hirte, K. (2013). Mainstream, Orthodoxie und Heterodoxie - Zur Klassifizierung der Wirtschaftswissenschaften. (ICAE Working Paper Series; Nr. 16).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Relationships are Constructed from Generalized Unconscious Social Images Kept in Steady Locations in Mental Space,"Ötsch, Walter",2014,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,29,ICAE Working Paper Series,"Ötsch, W. (2014). Relationships are Constructed from Generalized Unconscious Social Images Kept in Steady Locations in Mental Space. (ICAE Working Paper Series; Nr. 29).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
From Free to Civilized Markets: First Steps towards Eutopia,"Kapeller, Jakob (+1 weitere)",2014,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,28,ICAE Working Paper Series,"Kapeller, J., Schütz, B., & Tamesberger, D. (2014). From Free to Civilized Markets: First Steps towards Eutopia. (ICAE Working Paper Series; Nr. 28).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Aus den Vorhöfen der Macht in die Medien zur eigenen Partei. Formen der Einflussnahme von ÖkonomInnen auf Politik und Wirtschaft im Zuge der Finanz-­ und Wirtschaftskrisenpolitik.,"Pühringer, Stephan",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,20,ICAE Working Paper Series,"Pühringer, S. (2013). Aus den Vorhöfen der Macht in die Medien zur eigenen Partei. Formen der Einflussnahme von ÖkonomInnen auf Politik und Wirtschaft im Zuge der Finanz-­ und Wirtschaftskrisenpolitik. (ICAE Working Paper Series; Nr. 20).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
ÖkonomInnen in der Finanzkrise - Netzwerkanalytische Sicht auf die deutschsprachigen ÖkonomInnen in der Finanzkrise,"Pühringer, Stephan (+1 weitere)",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,18,ICAE Working Paper Series,"Pühringer, S., & Hirte, K. (2013). ÖkonomInnen in der Finanzkrise - Netzwerkanalytische Sicht auf die deutschsprachigen ÖkonomInnen in der Finanzkrise. (S. 1-21). (ICAE Working Paper Series; Nr. 18).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Kontinuitäten neoliberaler Wirtschaftspolitik in der Krise,"Pühringer, Stephan",2014,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,30,ICAE Working Paper Series,"Pühringer, S. (2014). Kontinuitäten neoliberaler Wirtschaftspolitik in der Krise. (ICAE Working Paper Series; Nr. 30).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Warum war Keynes so erfolgreich? Eine Darstellung anhand der Methode von Bruno Latour,"Ötsch, Walter",2014,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,27,ICAE Working Paper Series,"Ötsch, W. (2014). Warum war Keynes so erfolgreich? Eine Darstellung anhand der Methode von Bruno Latour. (ICAE Working Paper Series; Nr. 27).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die neoliberale Gesellschaft. Ein theoretischer Umriss.,"Nordmann, Jürgen",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,24,ICAE Working Paper Series,"Nordmann, J. (2013). Die neoliberale Gesellschaft. Ein theoretischer Umriss. (ICAE Working Paper Series; Nr. 24).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
From Free to Civilized Markets: First steps towards Eutopia,"Kapeller, Jakob (+1 weitere)",2014,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Kapeller, J., Schütz, B., & Tamesberger, D. (2014). From Free to Civilized Markets: First steps towards Eutopia. Semantic Scholar.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das neoliberale Selbst. Zur Genese und Kritik neuer Subjektkonstruktionen,"Nordmann, Jürgen",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,22,ICAE Working Paper Series,"Nordmann, J. (2013). Das neoliberale Selbst. Zur Genese und Kritik neuer Subjektkonstruktionen. (ICAE Working Paper Series; Nr. 22).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Erdbeben, Fieber und zarte Pflänzchen. Chronologischer Verlauf des Finanzkrisen‐Diskurses deutschsprachiger Ökonomen","Pühringer, Stephan (+1 weitere)",2012,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,9,ICAE Working Paper Series,"Pühringer, S., & Hirte, K. (2012). Erdbeben, Fieber und zarte Pflänzchen. Chronologischer Verlauf des Finanzkrisen‐Diskurses deutschsprachiger Ökonomen. (ICAE Working Paper Series; Nr. 9).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Solidarität im Kapitalismus. Zur Unmöglichkeit einer Forderung,"Pühringer, Stephan",2011,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,6,ICAE Working Paper Series,"Pühringer, M., & Pühringer, S. (2011). Solidarität im Kapitalismus. Zur Unmöglichkeit einer Forderung. (ICAE Working Paper Series; Nr. 6).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Gleichheit versus Vielfalt. Ein konstruierter Widerspruch?,"Pühringer, Stephan",2011,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,3,ICAE Working Paper Series,"Pühringer, S. (2011). Gleichheit versus Vielfalt. Ein konstruierter Widerspruch? (ICAE Working Paper Series; Nr. 3).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Mythen über Reichtum und Macht: Demokratie ist nicht käuflich,"Pühringer, Stephan",2014,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Pühringer, S. (2014). Mythen über Reichtum und Macht: Demokratie ist nicht käuflich. In Beigewum/ATTAC/Armutskonferenz (Hrsg.), Mythen des Reichtums (S. 149-158). VSA Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Populismus und Demagogie. Mit Beispielen von Jörg Haider, Hans-­‐Christian Strache und Frank Stronach sowie der Tea Party”.","Ötsch, Walter",2014,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2014). Populismus und Demagogie. Mit Beispielen von Jörg Haider, Hans-­‐Christian Strache und Frank Stronach sowie der Tea Party”. In Gressl, Martin, Klemenjak, Martin, Klepp. Cornelia, Pichler, Heinz, Rottermann, Doris und Scherling, Josefine (Hrsg.), Populismus und Rassismus im Vormarsch?, Schriftenreihe „Arbeit und Bildung“ (S. 12-26). ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Agrargiganten im Osten. Zur neuerlichen Transformation der transformierten deutschen Agrarstrukturen.,"Hirte, Katrin",2014,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (2014). Agrargiganten im Osten. Zur neuerlichen Transformation der transformierten deutschen Agrarstrukturen. In Brähler, Elmar; Wagner, Wolf (Hrsg.), 25 Jahre Mauerfall – kein Ende mit der Wende? (S. 277-­290). Psychosozial-Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Auftragsvergabe, Leistungsqualität und Kostenintensität im Schienenpersonenverkehr","Aistleitner, Matthias (+2 weitere)",2019,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Aistleitner, M., Grimm, C., & Kapeller, J. (2019). Auftragsvergabe, Leistungsqualität und Kostenintensität im Schienenpersonenverkehr. In Momentum Kongress Paper (S. 1-56)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Ökonomisierung an den Hochschulen.,"Hirte, Katrin",2010,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (2010). Ökonomisierung an den Hochschulen. In Johanna Besier, Hannah Fritsch, Arne Rost, Sven Schmidt, Hannes Schulz, Maggie Selle, Katharina Wenzel (Hrsg.), Agrarpolitik in der Lehre? (S. 17-25). ABL Bauernblatt Verlags-GmbH. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die ersten Professoren für Agrarpolitik und Agrarökonomie ab 1945 an den westdeutschen Universitäten und ihre Vergangenheit.,"Hirte, Katrin",2012,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (2012). Die ersten Professoren für Agrarpolitik und Agrarökonomie ab 1945 an den westdeutschen Universitäten und ihre Vergangenheit. In Buchsteiner Martin, Strahl Antje (Hrsg.), Thünen-Jahrbuch (S. 87-114)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
„Persilschein“ – Netzwerke: Für Bruchlosigkeit in Umbruchzeiten.,"Hirte, Katrin",2013,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (2013). „Persilschein“ – Netzwerke: Für Bruchlosigkeit in Umbruchzeiten. In Schönhuth, Michael; Gamper, Markus; Kronenwett, Michael; Stark, Martin (Hrsg.), Visuelle Netzwerkforschung. Qualitative, quantitative und partizipative Zugänge. (S. 331-353). transcript Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Markt als soziale Struktur - Zum Diskursszenario zur ""Märkte-Störung"" durch den Milchstreik","Hirte, Katrin",2009,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K. (2009). Markt als soziale Struktur - Zum Diskursszenario zur ""Märkte-Störung"" durch den Milchstreik. arbeitsergebnisse, (62), 14-26.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das neoklassische Freihandelsmodell,"Hirte, Katrin",2010,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (2010). Das neoklassische Freihandelsmodell. In Momentum Kongress Paper (S. 1-16)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Economists and Economics. Discourse profiles of economists in the financial crisis,"Pühringer, Stephan (+1 weitere)",2012,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Pühringer, S., & Hirte, K. (2012). Economists and Economics. Discourse profiles of economists in the financial crisis. In Association française d'économie politique (Hrsg.), Joint conference of AHE, IIPPE, FAPE. Kongress Political economy and the outlook for capitalism 05.-07.07.2012 (S. 1-16). ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wahrheit und Ökonomie,"Kapeller, Jakob (+1 weitere)",2016,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Grimm, C., & Kapeller, J. (2016). Wahrheit und Ökonomie. Kurswechsel, (1), 18-29.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Netzwerke, Paradigmen, Attitüden. Der deutsche Sonderweg im Fokus. Paradigmatische Ausrichtung und politische Orientierung von deutschen und US-amerikanischen Ökonomi_nnen im Vergleich","Pühringer, Stephan (+3 weitere)",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,"Beyer, K., Grimm, C., Kapeller, J., & Pühringer, S. (2018). Netzwerke, Paradigmen, Attitüden. Der deutsche Sonderweg im Fokus. Paradigmatische Ausrichtung und politische Orientierung von deutschen und US-amerikanischen Ökonomi_nnen im Vergleich. FGW.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wirtschaftspolitische Positionen österreichischer Parteien im historischen Verlauf. Die Ausgestaltung österreichischer Parteiprogrammatiken hinsichtlich neoliberalen Gedankenguts,"Grimm, Christian",2018,begutachtet,Beitrag in Fachzeitschrift,,,,"Grimm, C. (2018). Wirtschaftspolitische Positionen österreichischer Parteien im historischen Verlauf. Die Ausgestaltung österreichischer Parteiprogrammatiken hinsichtlich neoliberalen Gedankenguts. Momentum Quarterly, 7(3), 136-154. https://doi.org/10.15203/momentumquarterly.vol7.no3.p136-154",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Performativity of Economics - ein tragfähiger Ansatz zur Analyse der Rolle der Ökonomen in der Ökonomie?,"Hirte, Katrin",2010,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (2010). Performativity of Economics - ein tragfähiger Ansatz zur Analyse der Rolle der Ökonomen in der Ökonomie? In Walter Ötsch, Katrin Hirte, Jürgen Nordmann (Hrsg.), Krise. Welche Krise? (S. 49-75). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
How Liberalism lost its concept of democracy,"Pühringer, Stephan (+1 weitere)",2012,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Pühringer, S., & Kapeller, J. (2012). How Liberalism lost its concept of democracy. In Momentum Kongress Paper (S. 1-22)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Demokratiedefizit im Gesetzgebungsprozess budgetrelevanter Gesetze auf Bundesebene in Österreich,"Plaimer, Wolfgang",2011,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,4,ICAE Working Paper Series,"Plaimer, W. (2011). Demokratiedefizit im Gesetzgebungsprozess budgetrelevanter Gesetze auf Bundesebene in Österreich. (ICAE Working Paper Series; Nr. 4).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Finanz-­ und Wirtschaftskrise seit 2007: Ein Überblick,"Ötsch, Walter",2010,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,2,ICAE Working Paper Series,"Ötsch, W. (2010). Die Finanz-­ und Wirtschaftskrise seit 2007: Ein Überblick. (ICAE Working Paper Series; Nr. 2).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Illusionen eines Zirkulationskünstlers? Pierre-Joseph Proudhon auf dem ökonomiekritischen Prüfstand,"Beyer, Karl",2012,Nicht festgelegt,Abschlussarbeiten,,,,"Beyer, K. (2012). Illusionen eines Zirkulationskünstlers? Pierre-Joseph Proudhon auf dem ökonomiekritischen Prüfstand. Universität Wien.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Landwirtschaft, Ideologien und ""...ismen""","Hirte, Katrin",2014,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K. (2014). Landwirtschaft, Ideologien und ""...ismen"". Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, 37(2 (332)), 14-15.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien","Ötsch, Walter (+1 weitere)",2014,nicht begutachtet,Buch,,,,"Hirte, K., Thieme, S., & Ötsch, W. (Hrsg.) (2014). Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien. Metropolis Verlag.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Performative Wissenschaft: Ökonomiekritik, Ökonomietheorien und die Verantwortung von ÖkonomInnen.","Pühringer, Stephan (+1 weitere)",2014,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K., & Pühringer, S. (2014). Performative Wissenschaft: Ökonomiekritik, Ökonomietheorien und die Verantwortung von ÖkonomInnen. In Hirte Katrin, Thieme Sebastian, Ötsch Walter Otto (Hrsg.), Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien (S. 267-302). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
ÖkonomInnen und Ökonomie in der Krise? Eine diskurs- und netzwerkanalytische Sicht.,"Pühringer, Stephan (+1 weitere)",2014,begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K., & Pühringer, S. (2014). ÖkonomInnen und Ökonomie in der Krise? Eine diskurs- und netzwerkanalytische Sicht. WISO - Wirtschafts- und sozialpolitische Zeitschrift, 1, 159-178.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Finanzkrise 2007-2009 als Krise von Schattenbanken. Eine einführende institutionelle Analyse.,"Beyer, Karl (+1 weitere)",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,17,ICAE Working Paper Series,"Beyer, K., & Ötsch, W. (2013). Die Finanzkrise 2007-2009 als Krise von Schattenbanken. Eine einführende institutionelle Analyse. (ICAE Working Paper Series; Nr. 17).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
CDOs – A Critical Phenomenon of the Financial System in Crisis.,"Bräutigam, Lars (+1 weitere)",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,21,ICAE Working Paper Series,"Beyer, K., & Bräutigam, L. (2013). CDOs – A Critical Phenomenon of the Financial System in Crisis. (ICAE Working Paper Series; Nr. 21).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
From Free to Civilized Markets,"Kapeller, Jakob (+1 weitere)",2014,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., Schütz, B., & Tamesberger, D. (2014). From Free to Civilized Markets. In Momentum Kongress Paper (S. 1-29)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Emanzipation bei Marx und seine Kritik an Proudhon und dessen ideengeschichtlichen Nachfahren,"Beyer, Karl",2014,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Beyer, K. (2014). Emanzipation bei Marx und seine Kritik an Proudhon und dessen ideengeschichtlichen Nachfahren. In Momentum Kongress Paper (S. 1-18)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Political Economy of Offshore Jurisdictions,"Bräutigam, Lars (+2 weitere)",2014,nicht begutachtet,Buch,,,,"Ötsch, W., Grözinger, G., Beyer, K., & Bräutigam, L. (Hrsg.) (2014). The Political Economy of Offshore Jurisdictions. Metropolis Verlag.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Deutsche Agrarpolitikprofessoren vor und nach 1945,"Hirte, Katrin",2013,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K. (2013). Deutsche Agrarpolitikprofessoren vor und nach 1945. Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, 36(2 (327)), 18-20.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Deutsche Europapolitik vor und nach 1945,"Hirte, Katrin",2013,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K. (2013). Deutsche Europapolitik vor und nach 1945. Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, 36(3 (328)), 22-23.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
ÖkonomInnen in der Finanzkrise. Diskurse. Netzwerke. Initiativen.,"Hirte, Katrin",2013,nicht begutachtet,Buch,,,,"Hirte, K. (2013). ÖkonomInnen in der Finanzkrise. Diskurse. Netzwerke. Initiativen. Metropolis Verlag.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Offshore Aspects of Shadow Banking. With Considerations on the Recent Financial Crisis,"Bräutigam, Lars (+1 weitere)",2014,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Beyer, K., & Bräutigam, L. (2014). Offshore Aspects of Shadow Banking. With Considerations on the Recent Financial Crisis. In Ötsch, Walter O.; Grözinger, Gert; Beyer, Karl M. (Hrsg.), The Political Economy of Offshore Jurisdictions Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Marktradikalität. Der Diskurs von „dem Markt“,"Ötsch, Walter",2013,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2013). Marktradikalität. Der Diskurs von „dem Markt“. In Günther, Lea-Simone; Hertlein, Saskia;  Klüsener, Vea und Raasch, Markus (Hrsg.), Radikalität. Religiöse, politische und künstlerische Radikalismen in Geschichte und Gegenwart. Band 2: Frühe Neuzeit und Moderne (S. 254-279). Königshausen & Neumann. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Deep Meening of ‘Market’: Understanding Neoliberal-Market-Radical Reasoning,"Ötsch, Walter",2013,begutachtet,Beitrag in Fachzeitschrift,,,,"Ötsch, W. (2013). The Deep Meening of ‘Market’: Understanding Neoliberal-Market-Radical Reasoning. Human Geography, 6(2), 11-25.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das Team Stronach. Eine österreichische Tea Party?,"Pühringer, Stephan (+1 weitere)",2013,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,19,ICAE Working Paper Series,"Pühringer, S., & Ötsch, W. (2013). Das Team Stronach. Eine österreichische Tea Party? (ICAE Working Paper Series; Nr. 19).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Macht der Ratingagenturen: Governance in der Ideologie 'des Marktes',"Ötsch, Walter",2013,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2013). Die Macht der Ratingagenturen: Governance in der Ideologie 'des Marktes'. In Brodbeck, Karl-Heinz (Hrsg.), Alternative Länder-Ratings, Schriftenreihe der Finance & Ethics Academy, Band 5 (S. 58-98). Shaker Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Vorwort in ""Demokratie! Welche Demokratie? Postdemokratie kritisch hinterfragt""","Nordmann, Jürgen",2012,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Nordmann, J. (2012). Vorwort in ""Demokratie! Welche Demokratie? Postdemokratie kritisch hinterfragt"". In Demokratie! Welche Demokratie? Postdemokratie kritisch hinterfragt (S. 7-14)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
