Titel,Typ,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Listenindex,Personen,Externe Person,Startdatum,Schlussdatum
Pluralism in Economics,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-09-02,2015-09-02
Some implications of traditional philosophy for current economics,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-09-03,2015-09-03
Aus den Vorhöfen der Macht in die Medien hin zur eigenen Partei. Formen der der Einflussnahme von ÖkonomInnen auf Politik und Wirtschaft im Zuge der Finanz- und Wirtschaftskrisenpolitik.,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2013-09-26,2013-09-26
Zur Performativität der Ökonomik als Wissenschaft in Verantwortung,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2013-12-14,2013-12-14
Ökonomie und ÖkonomInnen - Interdependenz von Wirtschaftstheorie und ihrer Praxis,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2013-11-26,2013-11-26
"ÖkonomInnen in der Finanzkrise - Diskurse, Netzwerke, Initiativen",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2013-12-05,2013-12-05
"Tsunami, Earthquake, Fever. Economists’ framing of the financial crisis in the public economic discourse",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2013-09-10,2013-09-10
Der Fiskalpakt und seine Implementation in Österreich,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2013-10-18,2013-10-18
The conflict over income in a capitalist society: A stock-flow consistent approach,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+1 weitere)","Raghavendra, Srinivas (+1 weitere)",2019-10-25,2019-10-25
"Markt, Marktakteure und die Rolle des Staates im Wirtschaftsleben",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bräutigam, Lars",,2014-12-12,2014-12-12
„Der Markt als Richter“. Marktdisziplin und Austeritätspolitik,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2014-12-12,2014-12-12
Märkte und die Anerkennung von Arbeit – schlechte und ungleiche Bezahlung als nur eine geschlechterspezifische Frage? Ein erkenntnistheoretischer Zugang zur Frage der schlechten Bezahlung bestimmter Tätigkeiten,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2014-12-12,2014-12-12
“Der” Markt: Genese und Wirkungsweise eines vieldeutigen Begriffs,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-12-12,2014-12-12
Moderation einer Diskussion zur Sozialen Markwirtschaft,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-12-11,2014-12-11
The Neoliberal Utopia as Negation of All Other Utopias,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-12-05,2014-12-05
Internationaler Freihandel auf Basis komparativer Kostenvorteile? - zu Theorie und Praxis eines Versprechens,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2014-11-24,2014-11-24
Keynotespeaker zum Thema Mythos Markt – Die Wichtigkeit von Narrativen und von diskursiven Netzwerken,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-11-21,2014-11-21
"Podiumsdiskussion über das Programm von ""Agenda Austria""",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-11-19,2014-11-19
Ein pluralistisches Paradigma? Anwendungsbeispiel Mindestlohn,Vortrag nach Bewerbung und Auswahl,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Schütz, Bernhard",,2019-10-11,2019-10-11
What economics education is missing: the real world,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-09-06,2018-09-06
Polit-ökonomische Machtstrukturen unter „öffentlichen ÖkonomInnen“,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-12-19,2018-12-19
Machtstrukturen Neoliberaler Think Tanks,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-10-15,2018-10-15
Why Economics is Still Political Economy: Economists as enlightened experts and/or political proclaimers,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2018-12-06,2018-12-06
Divided we stand? Die politischen Orientierungen ‚öffentlicher ÖkonomInnen‘ in den USA,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-11-16,2018-11-16
Freiheitliche Flügelkämpfe? (Historische) Konfliktlinien in der FPÖ,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-12-18,2018-12-18
Did fiscal consolidation cause the double-dip recession in the euro area?,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2017-02-20,2017-02-20
Beyond Equilibrium: Revisting Two-Sided Markets from an Agent-Based Perspective,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten",2015-08-19,2015-08-19
Enforcing economic liberalism in European fiscal policy-making: On the role of the European Commission’s poential output model,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2017-01-11,2017-01-11
It’s not only about inequality: the role of unmet aspirations and speculative capital for explaining social protest,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Flechtner, Svenja",2015-09-18,2015-09-18
The Nature of Institutions: A Computational Perspective,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2017-01-07,2017-01-07
"The effect of selection and reputation mechanisms on the emergence of cooperation,",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2016-11-04,2016-11-04
Beyond Equilibrium: Revisting Two-Sided Markets from an Agent-Based Perspective,Posterpräsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten",2017-09-29,2017-09-29
Eine algorithmische Perspektive auf die Evolution von Institutionen,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2015-10-01,2015-10-01
The Complementary Relationship Between Evolutionary-Institutional and Complexity Economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2017-01-07,2017-01-07
The complexity approach to economic development as a new rationale for industrial policy?,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2017-06-11,2017-06-11
Ungleichheit in den USA: Ökonomische und gesellschaftliche Auswirkungen,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2017-11-22,2017-11-22
Formal Foundations of Agent-Based Models and Simulations,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2013-11-08,2013-11-08
Simulationen in der Evolutorischen Ökonomik,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2013-10-03,2013-10-03
Agent-Based Computational Models: A Useful Heuristic for Institutional Pattern Modeling?,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2015-01-03,2015-01-03
The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2017-07-19,2017-07-19
About Implicit Assumptions in Formal Modelling – The Case of DSGE and ABM in Economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2014-11-07,2014-11-07
The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2017-10-12,2017-10-12
Fiscal consolidation and disintegration tendencies in Europe: Is there a link?,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2017-03-30,2017-03-30
Die Eurokrise: Wettbewerbsdenken vs. koordinierte Wirtschaftspolitik,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2017-05-19,2017-05-19
The Nature of Institutions: A Computational Perspective,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2015-09-18,2015-09-18
Towards a computational understanding of institutions – A review and a new proposition,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Ghorbani, Amineh",2017-09-15,2017-09-15
On defining institutions and how to study them,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Ghorbani, Amineh",2017-10-21,2017-10-21
The dance of Godzilla and the earthquake: on the sectoral and structural foundations of macroeconomic dynamics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten",2017-09-20,2017-09-20
"Sources of cooperation, performance, and stability in informal value transfer systems",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Elsner, Wolfram",2017-10-19,2017-10-19
Nach der Wirtschaftskrise: was haben wir gelernt?,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-02-18,2010-02-18
Wie Wirtschaft Welt bewegt. Die großen ökonomischen Modelle auf dem Prüfstand,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-04-12,2010-04-12
Keynesianismus und Neoliberalismus. Zur Geschichte des Wirtschaftssystems und Finanzmarktkrise und Lösungsvorschläge. Zur aktuellen Situation des Kapitalismus,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-02-23,2010-02-23
Globale Wirtschaft - Globale Krise,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-02-22,2010-02-22
Was ist Grün,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-03-13,2010-03-13
"Arbeitsmarkt der Zukunft, Zukunft der Sozialwirtschaft",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-02-25,2010-02-25
Wie pluralistisch ist die Volkswirtschaftslehre an der JKU wirklich?,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-05-18,2010-05-18
"Performativität - ein tragfähiger Ansatz, um den Einfluss von ökonomischen Theorien auf reale Wirtschaftsabläufe zu analysieren?",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2010-04-29,2010-04-29
Moderation zu: Neue Machtsysteme in der Postdemokratie,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen (+2 weitere)",,2010-06-04,2010-06-04
Netzwerkanalytische Betrachtungen zu historischen Verläufen - Vorteile und neue Erkenntnisse? (am Beispiel der Historie der professoralen Agrarökonomen Deutschlands 1933 bis 1955),Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2010-05-30,2010-05-30
Globale Tendenzen der Weltwirtschaft im 20. Jahrhundert: von der Krise der 70er Jahre zur Großen Krise ab 2008,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen (+1 weitere)",,2010-04-27,2010-04-27
Mythos Markt. Marktradikale Propaganda und ökonomische Theorie,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-04-22,2010-04-22
Netzwerkanalyse und Zeitverläufe,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2010-06-24,2010-06-24
"Wirtschaftskrise, Sparpakete und politische Optionen",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-06-22,2010-06-22
Vielschichtigkeit in der Realität - Stringenz in der Analyse? Das Problem der Datenbewältigung bei der Erstellung von Ego-Netzwerken.,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2010-09-18,2010-09-18
"Die Evolution ökonomischen Wissens und des Wissens über den Kapitalismus. Performativity als Analyseinstrument: das Beispiel der Fabian Society, der Mont Pelerin Society und der Chicagoer Schule",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen (+2 weitere)",,2010-07-03,2010-07-03
Der Markt-Begriff im Neoliberalismus,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-11-30,2010-11-30
Ego-Netzwerke 1933 bis nach 1945 im Zeitverlauf - Brüche? Kontinuitäten? Typica?,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2010-11-13,2010-11-13
Liberalismus und Neoliberalismus,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen",,2011-10-15,2011-10-15
Gibt es eine neoliberale Gesellschaft? Theoretische Überlegungen zur Analyse eines ambivalenten Phänomens,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen",,2010-12-03,2010-12-03
"Der Begriff ""der Markt"" im Diskurs um die Wirtschaft - Die Tiefenbedeutung von ""Markt"". Ein Schlüssel zum Verständnis der neoliberal-marktradikalen Gesellschaft",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2010-10-22,2010-10-22
Das neoklassische Freihandelsmodell - Fundament für Entwicklungszusammenarbeit oder Zementierung globaler Ungleichheiten?,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2010-10-22,2010-10-22
"Trash, Skandale und Ratschläge statt Aufklärung und politische Bildung. Über das Zusammenspiel von kommerzialisierten Medien und gemachter Meinung in der neoliberalen Gesellschaft",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen",,2010-10-22,2010-10-22
Geographische Bezüge in professoralen Netzwerken - universitäre Lieferbeziehungen in der deutschen Agrarpolitik und Agrarökonomie,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2011-05-27,2011-05-27
"Mechanismen der Finanzmärkte, Globalisierung und Wirtschaftskrise",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2011-05-28,2011-05-28
Die professorale Scientific Community der deutschen Agrarökonomie und Agrarpolitik vor und nach 1945,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2011-05-05,2011-05-05
Die Österreichische Schule im Neoliberalismus,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen",,2011-05-23,2011-05-23
Kapitalismus und Moral,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2011-02-23,2011-02-23
"Akteur und Markt, Subjekt und Ordnung in der ökonomischen Theorie",Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2011-02-24,2011-02-24
Schreibreflexion und Subjekt im Spätwerk von Roland Barthes,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen",,2011-01-21,2011-01-21
"Wirtschaftskrise, Krise der Mainstream-Ökonomik - Chance für die Sozialökonomie?",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2011-02-09,2011-02-09
"Country capabilities, product complexity, and finance in the EU: An AB-SFC multi country model for policy analysis",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Schütz, Bernhard (+1 weitere)",,2018-11-15,2018-11-15
The European green transition and the role of industrial policy,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2024-05-21,2024-05-21
Wie viel Wettbewerb wollen wir (uns leisten)? Die „Kosten“ kompetitiver Drittmittelvergabe an österreichischen Unis,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2024-05-29,2024-05-29
Sozial-ökologische Transformation braucht eine andere Wirtschaft,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2024-11-12,2024-11-12
"Die Macht des ökonomischen Denkens: Narrative, Akteur*innen und Netzwerke",Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+3 weitere)",,2024-05-15,2024-05-15
Woher kommt Schokolade und wer macht eigentlich mein Handy?,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2024-07-22,2024-07-22
Openness only thrives where fairness survives: The geo-economic turn in EU competitiveness discourse,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2024-10-10,2024-10-10
Openness only thrives where fairness survives: The geo-economic turn in EU competitiveness discourse,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2024-09-05,2024-09-05
Die grüne Transformation des EU-Verkehrssektors,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2024-06-20,2024-06-20
Degrowth als neue Wirtschaftsordnung?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2024-11-21,2024-11-21
Superreichen-Netzwerke in Österreich,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2024-08-28,2024-08-28
Institutional Evolutionary Economics: Introduction,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2024-12-03,2024-12-03
Wirtschaftliche Herausforderungen im 21. Jahrhundert,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+1 weitere)",,2024-06-18,2024-06-18
Short-term Employment and Social Stratification in Austrian Academia,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2024-01-16,2024-01-16
Unravelling the social-epistemological costs of short-term contracts in Austrian research funding schemes,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2024-11-21,2024-11-21
Netzwerke von Überreichtum in Österreich,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2024-04-11,2024-04-11
Wealth Inequality and Media Narratives: Exploring Redistribution Policy Debates on Taxation in German-Speaking Countries,Vortrag nach Bewerbung und Auswahl,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Maad, Magdalena",2024-10-18,2024-10-18
"Wirtschaftspolitik, Verteilungsgerechtigkeit und Demokratie",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-11-07,2014-11-07
"Relevanz, Realität, Modelle. Was braucht die Ökonomie?",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-10-29,2014-10-29
Wie Bilder und Metaphern Wirtschaft beeinflussen: mit Beispielen vom 18. Jahrhundert bis zum Neoliberalismus,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-10-23,2014-10-23
Forschen mit Ablaufdatum,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2024-11-07,2024-11-07
Kritische Utopien als Methode und Praxis: Der Forschungsstandort Österreich,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+1 weitere)","Azevedo, Susanna",2024-10-18,2024-10-18
Gendered Competitive Practices in Economics. A Multi-Layer Model of Women’s Underrepresentation,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2024-09-26,2024-09-26
Financial Markets: A Critical Approach to their Functions and Impact on Economy.,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bräutigam, Lars",,2014-11-19,2014-11-19
Die Rückkehr des Rentiers. Ansichten zu Thomas Pikettys ‘Capital in the 21st century’,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-11-12,2014-11-12
"Europäische Agrarpolitik. Institutionen, Innovationen, Interpretationen.",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2014-11-12,2014-11-12
Emanzipation bei Marx und seine Kritik an Proudhon und dessen ideengeschichtlichen Nachfahren,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Beyer, Karl",,2014-10-18,2014-10-18
Ökonomische Theorie und öffentliche Meinung,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-07-09,2014-07-09
Podiumsdiskussion zum Film Too big to Tell von Johanna Tschautscher,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2014-07-09,2014-07-09
